problem,solution,answer
"Laszlo went online to shop for black pepper and found thirty different black pepper options varying in weight and price, shown in the scatter plot below. In ounces, what is the weight of the pepper that offers the lowest price per ounce?
[asy] //diagram by pog size(5.5cm); usepackage(""mathptmx""); defaultpen(mediumgray*0.5+gray*0.5+linewidth(0.63)); add(grid(6,6)); label(scale(0.7)*""$1$"", (1,-0.3), black); label(scale(0.7)*""$2$"", (2,-0.3), black); label(scale(0.7)*""$3$"", (3,-0.3), black); label(scale(0.7)*""$4$"", (4,-0.3), black); label(scale(0.7)*""$5$"", (5,-0.3), black); label(scale(0.7)*""$1$"", (-0.3,1), black); label(scale(0.7)*""$2$"", (-0.3,2), black); label(scale(0.7)*""$3$"", (-0.3,3), black); label(scale(0.7)*""$4$"", (-0.3,4), black); label(scale(0.7)*""$5$"", (-0.3,5), black); label(scale(0.8)*rotate(90)*""Price (dollars)"", (-1,3.2), black); label(scale(0.8)*""Weight (ounces)"", (3.2,-1), black); dot((1,1.2),black); dot((1,1.7),black); dot((1,2),black); dot((1,2.8),black);  dot((1.5,2.1),black); dot((1.5,3),black); dot((1.5,3.3),black); dot((1.5,3.75),black);  dot((2,2),black); dot((2,2.9),black); dot((2,3),black); dot((2,4),black); dot((2,4.35),black); dot((2,4.8),black);  dot((2.5,2.7),black); dot((2.5,3.7),black); dot((2.5,4.2),black); dot((2.5,4.4),black);  dot((3,2.5),black); dot((3,3.4),black); dot((3,4.2),black);  dot((3.5,3.8),black); dot((3.5,4.5),black); dot((3.5,4.8),black);  dot((4,3.9),black); dot((4,5.1),black);  dot((4.5,4.75),black); dot((4.5,5),black);  dot((5,4.5),black); dot((5,5),black); [/asy]
$\textbf{(A) }1\qquad\textbf{(B) }2\qquad\textbf{(C) }3\qquad\textbf{(D) }4\qquad\textbf{(E) }5$","We can find the lowest point in each line ( $1$ $2$ $3$ $4$ , or $5$ ) and find the price per pound. (Note that we don't need to find the points higher than the points below since we are finding the lowest price per pound.)
[asy] //diagram by pog size(5.5cm); usepackage(""mathptmx""); defaultpen(mediumgray*0.5+gray*0.5+linewidth(0.63)); add(grid(6,6)); label(scale(0.7)*""$1$"", (1,-0.3), black); label(scale(0.7)*""$2$"", (2,-0.3), black); label(scale(0.7)*""$3$"", (3,-0.3), black); label(scale(0.7)*""$4$"", (4,-0.3), black); label(scale(0.7)*""$5$"", (5,-0.3), black); label(scale(0.7)*""$1$"", (-0.3,1), black); label(scale(0.7)*""$2$"", (-0.3,2), black); label(scale(0.7)*""$3$"", (-0.3,3), black); label(scale(0.7)*""$4$"", (-0.3,4), black); label(scale(0.7)*""$5$"", (-0.3,5), black); label(scale(0.8)*rotate(90)*""Price (dollars)"", (-1,3.2), black); label(scale(0.8)*""Weight (ounces)"", (3.2,-1), black); dot((1,1.2),red); dot((1,1.7),black); dot((1,2),black); dot((1,2.8),black);  dot((2,2),green); dot((2,2.9),black); dot((2,3),black); dot((2,4),black); dot((2,4.35),black); dot((2,4.8),black);  dot((3,2.5),blue); dot((3,3.4),black); dot((3,4.2),black);  dot((4,3.9),orange); dot((4,5.1),black);  dot((5,4.5),purple); dot((5,5),black); [/asy]
The red dot has a price per pound of something that is larger than $1$ . The green dot has a price per pound of $1$ . The blue dot has a price per pound of something like $\frac{2.5}{3}$ . The orange dot has a price per pound that is less than $1$ , but is very close to it. The purple dot has a price per pound of something like $\frac{4.5}{5}$ . We see that choices $\textbf{(A)}$ $\textbf{(B)}$ ,and $\textbf{(D)}$ are eliminated. Also, $\frac{4.5}{5} > \frac{2.5}{3}$ thus the answer is $\boxed{3}$",3
"Four numbers are written in a row. The average of the first two is $21,$ the average of the middle two is $26,$ and the average of the last two is $30.$ What is the average of the first and last of the numbers?
$\textbf{(A) } 24 \qquad \textbf{(B) } 25 \qquad \textbf{(C) } 26 \qquad \textbf{(D) } 27 \qquad \textbf{(E) } 28$","Note that the sum of the first two numbers is $21\cdot2=42,$ the sum of the middle two numbers is $26\cdot2=52,$ and the sum of the last two numbers is $30\cdot2=60.$
It follows that the sum of the four numbers is $42+60=102,$ so the sum of the first and last numbers is $102-52=50.$ Therefore, the average of the first and last numbers is $50\div2=\boxed{25}.$",25
"Four numbers are written in a row. The average of the first two is $21,$ the average of the middle two is $26,$ and the average of the last two is $30.$ What is the average of the first and last of the numbers?
$\textbf{(A) } 24 \qquad \textbf{(B) } 25 \qquad \textbf{(C) } 26 \qquad \textbf{(D) } 27 \qquad \textbf{(E) } 28$","Let $a,b,c,$ and $d$ be the four numbers in that order. We are given that \begin{align*} \frac{a+b}{2} &= 21, &(1) \\ \frac{b+c}{2} &= 26, &(2) \\ \frac{c+d}{2} &= 30, &(3) \end{align*} and we wish to find $\frac{a+d}{2}.$
We add $(1)$ and $(3),$ then subtract $(2)$ from the result: \[\frac{a+d}{2}=21+30-26=\boxed{25}.\] ~MRENTHUSIASM",25
"Four numbers are written in a row. The average of the first two is $21,$ the average of the middle two is $26,$ and the average of the last two is $30.$ What is the average of the first and last of the numbers?
$\textbf{(A) } 24 \qquad \textbf{(B) } 25 \qquad \textbf{(C) } 26 \qquad \textbf{(D) } 27 \qquad \textbf{(E) } 28$","We can just assume some of the numbers. For example, let the first two numbers both be $21.$ It follows that the third number is $31,$ and the fourth number is $29.$ Therefore, the average of the first and last numbers is $\dfrac{21+29}2=\dfrac{50}2=\boxed{25}.$",25
"If $n$ is an even positive integer, the $\emph{double factorial}$ notation $n!!$ represents the product of all the even integers from $2$ to $n$ . For example, $8!! = 2 \cdot 4 \cdot 6 \cdot 8$ . What is the units digit of the following sum? \[2!! + 4!! + 6!! + \cdots + 2018!! + 2020!! + 2022!!\]
$\textbf{(A) } 0\qquad\textbf{(B) } 2\qquad\textbf{(C) } 4\qquad\textbf{(D) } 6\qquad\textbf{(E) } 8$","Notice that once $n>8,$ the units digit of $n!!$ will be $0$ because there will be a factor of $10.$ Thus, we only need to calculate the units digit of \[2!!+4!!+6!!+8!! = 2+8+48+48\cdot8.\] We only care about units digits, so we have $2+8+8+8\cdot8,$ which has the same units digit as $2+8+8+4.$ The answer is $\boxed{2}.$",2
"The midpoints of the four sides of a rectangle are $(-3,0), (2,0), (5,4),$ and $(0,4).$ What is the
area of the rectangle?
$\textbf{(A) } 20 \qquad \textbf{(B) } 25 \qquad \textbf{(C) } 40 \qquad \textbf{(D) } 50 \qquad \textbf{(E) } 80$","The midpoints of the four sides of every rectangle are the vertices of a rhombus whose area is half the area of the rectangle: Note that the diagonals of the rhombus have the same lengths as the sides of the rectangle.
Let $A=(-3,0), B=(2,0), C=(5,4),$ and $D=(0,4).$ Note that $A,B,C,$ and $D$ are the vertices of a rhombus whose diagonals have lengths $AC=4\sqrt{5}$ and $BD=2\sqrt{5}.$ It follows that the dimensions of the rectangle are $4\sqrt{5}$ and $2\sqrt{5},$ so the area of the rectangle is $4\sqrt{5}\cdot2\sqrt{5}=\boxed{40}.$",40
"The midpoints of the four sides of a rectangle are $(-3,0), (2,0), (5,4),$ and $(0,4).$ What is the
area of the rectangle?
$\textbf{(A) } 20 \qquad \textbf{(B) } 25 \qquad \textbf{(C) } 40 \qquad \textbf{(D) } 50 \qquad \textbf{(E) } 80$","If a rectangle has area $K,$ then the area of the quadrilateral formed by its midpoints is $\frac{K}{2}.$
Define points $A,B,C,$ and $D$ as Solution 1 does. Since $A,B,C,$ and $D$ are the midpoints of the rectangle, the rectangle's area is $2[ABCD].$ Now, note that $ABCD$ is a parallelogram since $AB=CD$ and $\overline{AB}\parallel\overline{CD}.$ As the parallelogram's height from $D$ to $\overline{AB}$ is $4$ and $AB=5,$ its area is $4\cdot5=20.$ Therefore, the area of the rectangle is $20\cdot2=\boxed{40}.$ ~Fruitz",40
"Mr. Ramos gave a test to his class of $20$ students. The dot plot below shows the distribution of test scores. [asy] //diagram by pog . give me 1,000,000,000 dollars for this diagram size(5cm); defaultpen(0.7); dot((0.5,1)); dot((0.5,1.5)); dot((1.5,1)); dot((1.5,1.5)); dot((2.5,1)); dot((2.5,1.5)); dot((2.5,2)); dot((2.5,2.5)); dot((3.5,1)); dot((3.5,1.5)); dot((3.5,2)); dot((3.5,2.5)); dot((3.5,3)); dot((4.5,1)); dot((4.5,1.5)); dot((5.5,1)); dot((5.5,1.5)); dot((5.5,2)); dot((6.5,1)); dot((7.5,1)); draw((0,0.5)--(8,0.5),linewidth(0.7)); defaultpen(fontsize(10.5pt)); label(""$65$"", (0.5,-0.1)); label(""$70$"", (1.5,-0.1)); label(""$75$"", (2.5,-0.1)); label(""$80$"", (3.5,-0.1)); label(""$85$"", (4.5,-0.1)); label(""$90$"", (5.5,-0.1)); label(""$95$"", (6.5,-0.1)); label(""$100$"", (7.5,-0.1)); [/asy]
Later Mr. Ramos discovered that there was a scoring error on one of the questions. He regraded the tests, awarding some of the students $5$ extra points, which increased the median test score to $85$ . What is the minimum number of students who received extra points?
(Note that the median test score equals the average of the $2$ scores in the middle if the $20$ test scores are arranged in increasing order.)
$\textbf{(A)} ~2\qquad\textbf{(B)} ~3\qquad\textbf{(C)} ~4\qquad\textbf{(D)} ~5\qquad\textbf{(E)} ~6\qquad$","We set up our cases as solution 1 showed, realizing that only the second case is possible.
We notice that $13$ students have scores under $85$ currently and only $5$ have scores over $85$ . We find the median of these two numbers, getting:
\[13-5=8\] \[\frac{8}{2}=4\] \[13-4=9\]
Thus, we realize that $4$ students must have their score increased by $5$
So, the correct answer is $\boxed{4}$",4
"The grid below is to be filled with integers in such a way that the sum of the numbers in each row and the sum of the numbers in each column are the same. Four numbers are missing. The number $x$ in the lower left corner is larger than the other three missing numbers. What is the smallest possible value of $x$ [asy] unitsize(0.5cm); draw((3,3)--(-3,3)); draw((3,1)--(-3,1)); draw((3,-3)--(-3,-3)); draw((3,-1)--(-3,-1)); draw((3,3)--(3,-3)); draw((1,3)--(1,-3)); draw((-3,3)--(-3,-3)); draw((-1,3)--(-1,-3)); label((-2,2),""$-2$""); label((0,2),""$9$""); label((2,2),""$5$""); label((2,0),""$-1$""); label((2,-2),""$8$""); label((-2,-2),""$x$""); [/asy] $\textbf{(A) } -1 \qquad \textbf{(B) } 5 \qquad \textbf{(C) } 6 \qquad \textbf{(D) } 8 \qquad \textbf{(E) } 9 \qquad$","The sum of the numbers in each row is $12$ . Consider the second row. In order for the sum of the numbers in this row to equal $12$ , the two shaded numbers must add up to $13$ [asy] unitsize(0.5cm); fill((-3,1)--(1,1)--(1,-1)--(-3,-1)--cycle,mediumgray); draw((3,3)--(-3,3)); draw((3,1)--(-3,1)); draw((3,-3)--(-3,-3)); draw((3,-1)--(-3,-1)); draw((3,3)--(3,-3)); draw((1,3)--(1,-3)); draw((-3,3)--(-3,-3)); draw((-1,3)--(-1,-3)); label((-2,2),""$-2$""); label((0,2),""$9$""); label((2,2),""$5$""); label((2,0),""$-1$""); label((2,-2),""$8$""); label((-2,-2),""$x$""); [/asy] If two numbers add up to $13$ , one of them must be at least $7$ : If both shaded numbers are no more than $6$ , their sum can be at most $12$ . Therefore, for $x$ to be larger than the three missing numbers, $x$ must be at least $8$ . We can construct a working scenario where $x=8$ [asy] unitsize(0.5cm); draw((3,3)--(-3,3)); draw((3,1)--(-3,1)); draw((3,-3)--(-3,-3)); draw((3,-1)--(-3,-1)); draw((3,3)--(3,-3)); draw((1,3)--(1,-3)); draw((-3,3)--(-3,-3)); draw((-1,3)--(-1,-3)); label((-2,2),""$-2$""); label((0,2),""$9$""); label((2,2),""$5$""); label((2,0),""$-1$""); label((2,-2),""$8$""); label((-2,-2),""$8$""); label((0,-2),""$-4$""); label((-2,0),""$6$""); label((0,0),""$7$""); [/asy] So, our answer is $\boxed{8}$",8
"The grid below is to be filled with integers in such a way that the sum of the numbers in each row and the sum of the numbers in each column are the same. Four numbers are missing. The number $x$ in the lower left corner is larger than the other three missing numbers. What is the smallest possible value of $x$ [asy] unitsize(0.5cm); draw((3,3)--(-3,3)); draw((3,1)--(-3,1)); draw((3,-3)--(-3,-3)); draw((3,-1)--(-3,-1)); draw((3,3)--(3,-3)); draw((1,3)--(1,-3)); draw((-3,3)--(-3,-3)); draw((-1,3)--(-1,-3)); label((-2,2),""$-2$""); label((0,2),""$9$""); label((2,2),""$5$""); label((2,0),""$-1$""); label((2,-2),""$8$""); label((-2,-2),""$x$""); [/asy] $\textbf{(A) } -1 \qquad \textbf{(B) } 5 \qquad \textbf{(C) } 6 \qquad \textbf{(D) } 8 \qquad \textbf{(E) } 9 \qquad$","The sum of the numbers in each row is $-2+9+5=12,$ and the sum of the numbers in each column is $5+(-1)+8=12.$
Let $y$ be the number in the lower middle. It follows that $x+y+8=12,$ or $x+y=4.$
We express the other two missing numbers in terms of $x$ and $y,$ as shown below: [asy] unitsize(0.5cm); draw((3,3)--(-3,3)); draw((3,1)--(-3,1)); draw((3,-3)--(-3,-3)); draw((3,-1)--(-3,-1)); draw((3,3)--(3,-3)); draw((1,3)--(1,-3)); draw((-3,3)--(-3,-3)); draw((-1,3)--(-1,-3)); label((-2,2),""$-2$""); label((0,2),""$9$""); label((2,2),""$5$""); label((2,0),""$-1$""); label((2,-2),""$8$""); label((-2,-2),""$x$""); label((0,-2),""$y$"",red+fontsize(11)); label((-2,0),""$y{+}10$"",red+fontsize(11)); label((0,0),""$x{-}1$"",red+fontsize(11));  [/asy] We have $x>x-1, x>y+10,$ and $x>y.$ Note that the first inequality is true for all values of $x.$ We only need to solve the second inequality so that the third inequality is true for all values of $x.$ By substitution, we get $x>(4-x)+10,$ from which $x>7.$
Therefore, the smallest possible value of $x$ is $\boxed{8}.$",8
"The grid below is to be filled with integers in such a way that the sum of the numbers in each row and the sum of the numbers in each column are the same. Four numbers are missing. The number $x$ in the lower left corner is larger than the other three missing numbers. What is the smallest possible value of $x$ [asy] unitsize(0.5cm); draw((3,3)--(-3,3)); draw((3,1)--(-3,1)); draw((3,-3)--(-3,-3)); draw((3,-1)--(-3,-1)); draw((3,3)--(3,-3)); draw((1,3)--(1,-3)); draw((-3,3)--(-3,-3)); draw((-1,3)--(-1,-3)); label((-2,2),""$-2$""); label((0,2),""$9$""); label((2,2),""$5$""); label((2,0),""$-1$""); label((2,-2),""$8$""); label((-2,-2),""$x$""); [/asy] $\textbf{(A) } -1 \qquad \textbf{(B) } 5 \qquad \textbf{(C) } 6 \qquad \textbf{(D) } 8 \qquad \textbf{(E) } 9 \qquad$","This is based on the Solution 2 above and it is perhaps a little simpler than that.
Let $y$ be the number in the lower middle. Applying summation to first two columns yields the following.
[asy] unitsize(0.5cm); draw((3,3)--(-3,3)); draw((3,1)--(-3,1)); draw((3,-3)--(-3,-3)); draw((3,-1)--(-3,-1)); draw((3,3)--(3,-3)); draw((1,3)--(1,-3)); draw((-3,3)--(-3,-3)); draw((-1,3)--(-1,-3)); label((-2,2),""$-2$""); label((0,2),""$9$""); label((2,2),""$5$""); label((2,0),""$-1$""); label((2,-2),""$8$""); label((-2,-2),""$x$""); label((0,-2),""$y$"",red+fontsize(11)); label((-2,0),""$14{-}x$"",red+fontsize(11)); label((0,0),""$3{-}y$"",red+fontsize(11));  [/asy]
Since $x$ is greater than the other three, we have $x>14-x,$ or $x>7.$
Therefore, the smallest possible value of $x$ is $\boxed{8}.$",8
"The grid below is to be filled with integers in such a way that the sum of the numbers in each row and the sum of the numbers in each column are the same. Four numbers are missing. The number $x$ in the lower left corner is larger than the other three missing numbers. What is the smallest possible value of $x$ [asy] unitsize(0.5cm); draw((3,3)--(-3,3)); draw((3,1)--(-3,1)); draw((3,-3)--(-3,-3)); draw((3,-1)--(-3,-1)); draw((3,3)--(3,-3)); draw((1,3)--(1,-3)); draw((-3,3)--(-3,-3)); draw((-1,3)--(-1,-3)); label((-2,2),""$-2$""); label((0,2),""$9$""); label((2,2),""$5$""); label((2,0),""$-1$""); label((2,-2),""$8$""); label((-2,-2),""$x$""); [/asy] $\textbf{(A) } -1 \qquad \textbf{(B) } 5 \qquad \textbf{(C) } 6 \qquad \textbf{(D) } 8 \qquad \textbf{(E) } 9 \qquad$","Note that the sum of the rows and columns must be $8+5-1=12$ . We proceed to test the answer choices.
Testing $\textbf{(A)}$ , when $x = -1$ , the number above $x$ must be $15$ , which contradicts the precondition that the numbers surrounding $x$ is less than $x$
Testing $\textbf{(B)}$ , the number above $x$ is $9$ , which does not work.
Testing $\textbf{(C)}$ , the number above $x$ is $8$ , which does not work.
Testing $\textbf{(D)}$ , the number above $x$ is $6$ , which does work. Hence, the answer is $\boxed{8}$",8
"The grid below is to be filled with integers in such a way that the sum of the numbers in each row and the sum of the numbers in each column are the same. Four numbers are missing. The number $x$ in the lower left corner is larger than the other three missing numbers. What is the smallest possible value of $x$ [asy] unitsize(0.5cm); draw((3,3)--(-3,3)); draw((3,1)--(-3,1)); draw((3,-3)--(-3,-3)); draw((3,-1)--(-3,-1)); draw((3,3)--(3,-3)); draw((1,3)--(1,-3)); draw((-3,3)--(-3,-3)); draw((-1,3)--(-1,-3)); label((-2,2),""$-2$""); label((0,2),""$9$""); label((2,2),""$5$""); label((2,0),""$-1$""); label((2,-2),""$8$""); label((-2,-2),""$x$""); [/asy] $\textbf{(A) } -1 \qquad \textbf{(B) } 5 \qquad \textbf{(C) } 6 \qquad \textbf{(D) } 8 \qquad \textbf{(E) } 9 \qquad$","The sum of the numbers in each column and row should be $5+(-1)+8=12$ . If we look at the $1^{\text{st}}$ column, the gray squares (shown below) sum to $12-(-2)=14$
[asy] draw((3,3)--(-3,3)); draw((3,1)--(-3,1)); draw((3,-3)--(-3,-3)); draw((3,-1)--(-3,-1)); draw((3,3)--(3,-3)); draw((1,3)--(1,-3)); draw((-3,3)--(-3,-3)); draw((-1,3)--(-1,-3)); label((-2,2),""$-2$""); label((0,2),""$9$""); label((2,2),""$5$""); label((2,0),""$-1$""); label((2,-2),""$8$""); label((-2,-2),""$x$""); filldraw((-3,-3)--(-1,-3)--(-1,-1)--(-3,-1)--cycle, lightgray, black+linewidth(1)); filldraw((-1,-1)--(-3,-1)--(-3,1)--(-1,1)--cycle, lightgray, black+linewidth(1)); label(scale(1)*""All credits for original unedited asymptote for the problem go to whoever made the asymptote in the 'Problem' section."", (-0,-5), S); [/asy]
If square $x$ has to be greater than or equal to the three blank squares, then the least $x$ can be is half the sum of the value of the gray squares, which is $14\div2=7$ . But square $x$ has to be greater than and not greater than or equal to the three blank squares, so the least $x$ can be is $7+1=8$ . Testing for the other rows and columns (it might be smaller than the other two squares!), we find that the smallest $x$ can be is indeed $8$ ; the other two squares are less than $8$ . Therefore, the answer is $\boxed{8}$",8
"Steph scored $15$ baskets out of $20$ attempts in the first half of a game, and $10$ baskets out of $10$ attempts in the second half. Candace took $12$ attempts in the first half and $18$ attempts in the second. In each half, Steph scored a higher percentage of baskets than Candace. Surprisingly they ended with the same overall percentage of baskets scored. How many more baskets did Candace score in the second half than in the first? [asy] size(7cm); draw((-8,27)--(72,27)); draw((16,0)--(16,35)); draw((40,0)--(40,35)); label(""12"", (28,3)); draw((25,6.5)--(25,12)--(31,12)--(31,6.5)--cycle); draw((25,5.5)--(31,5.5)); label(""18"", (56,3)); draw((53,6.5)--(53,12)--(59,12)--(59,6.5)--cycle); draw((53,5.5)--(59,5.5)); draw((53,5.5)--(59,5.5)); label(""20"", (28,18)); label(""15"", (28,24)); draw((25,21)--(31,21)); label(""10"", (56,18)); label(""10"", (56,24)); draw((53,21)--(59,21)); label(""First Half"", (28,31)); label(""Second Half"", (56,31)); label(""Candace"", (2.35,6)); label(""Steph"", (0,21)); [/asy] $\textbf{(A) } 7\qquad\textbf{(B) } 8\qquad\textbf{(C) } 9\qquad\textbf{(D) } 10\qquad\textbf{(E) } 11$","Let $x$ be the number of shots that Candace made in the first half, and let $y$ be the number of shots Candace made in the second half. Since Candace and Steph took the same number of attempts, with an equal percentage of baskets scored, we have $x+y=10+15=25.$ In addition, we have the following inequalities: \[\frac{x}{12}<\frac{15}{20} \implies x<9,\] and \[\frac{y}{18}<\frac{10}{10} \implies y<18.\] Pairing this up with $x+y=25$ we see the only possible solution is $(x,y)=(8,17),$ for an answer of $17-8 = \boxed{9}.$",9
